JURSCODE,COUNTY,STATE,BG2010,ACRES,PAR_ACRES,ZONEAVAIL_ACRES,PCT_ZONEAVAIL_ACRES,RES_ACRES,COMM_ACRES,AG_ACRES,SUM_MAXHU,MAXHU_ACRE,HU2019,HUACRE_2019,HU_GAP
ANNE,Anne Arundel County,PA,240037080011,6816.73908,6609.268333,4005.783333,0.606085747,2783.630333,209.03,3513.313,2072.448195,0.313566962,1073,0.162347774,0.151219189
ANNE,Anne Arundel County,PA,240037080012,3864.41383,3617.935,2808.752,0.7763412,1646.186,2.507,1934.666,184.1873135,0.050909514,593,0.163905653,-0.112996139
ANNE,Anne Arundel County,PA,240037080041,4534.85027,4270.978,1835.809,0.429833401,704.515,368.14,1741.386,26351.44761,6.169886056,387,0.090611565,6.079274491
ANNE,Anne Arundel County,PA,240037080042,10515.61454,9918.003,6406.584,0.645955038,2259.377,407.194,6879.584,1634.12883,0.164763898,1080,0.108892889,0.055871009
ANNE,Anne Arundel County,PA,240037080043,1845.57712,1775.25,1104.956,0.622422757,889.662,334.503,473.525,2631.036013,1.482065069,725,0.408393184,1.073671885
ANNE,Anne Arundel County,PA,240037301001,1102.21904,982.066,527.464,0.537096285,746.504,67.748,0,2105.452479,2.143901203,1037,1.055937177,1.087964025
ANNE,Anne Arundel County,PA,240037301002,203.87774,156.1153333,107.1123333,0.686110269,130.0913333,24.725,0,1385.984309,8.877951185,754,4.829762611,4.048188574
ANNE,Anne Arundel County,PA,240037301003,4612.77857,4477.207,715.251,0.159753838,1443.092,1390.984,0,45438.9851,10.14895784,2985,0.666710295,9.482247549
ANNE,Anne Arundel County,PA,240037302031,243.82052,207.6716667,127.4156667,0.613543815,198.6656667,6.967,0,1122.255194,5.403987997,862,4.150782886,1.253205111
ANNE,Anne Arundel County,PA,240037302032,75.76733,38.374,33.783,0.880361703,18.191,20.183,0,699.0267724,18.21615605,487,12.69088445,5.525271602
ANNE,Anne Arundel County,PA,240037302033,125.48549,92.291,65.064,0.704987485,41.4,49.727,0,3039.92602,32.93848826,625,6.772057947,26.16643031
ANNE,Anne Arundel County,PA,240037302034,116.22705,98.07,62.036,0.632568573,72.943,24.481,0,606.3058079,6.182377974,862,8.789640053,-2.607262079
ANNE,Anne Arundel County,PA,240037302041,602.31168,522.715,372.865,0.713323704,451.916,38.531,0,2778.081787,5.314716026,787,1.505600566,3.80911546
ANNE,Anne Arundel County,PA,240037302042,467.86823,420.184,262.477,0.624671572,349.906,28.161,0,2340.518643,5.570223147,945,2.249014717,3.32120843
ANNE,Anne Arundel County,PA,240037302043,97.58785,75.337,71.02,0.942697479,60.877,11.514,0,813.5023343,10.79817798,386,5.123644424,5.674533554
ANNE,Anne Arundel County,PA,240037303001,395.1219,293.245,195.213,0.66569933,177.34,51.411,0,1759.884599,6.00141383,757,2.581459189,3.419954641
ANNE,Anne Arundel County,PA,240037303002,108.4076,77.509,77.509,1,71.934,5.575,0,387.545,5,455,5.870286031,-0.870286031
ANNE,Anne Arundel County,PA,240037304011,345.67945,250.4176667,129.1936667,0.515912748,166.5846667,76.905,0,2768.93358,11.05726132,1407,5.61861317,5.438648151
ANNE,Anne Arundel County,PA,240037304012,201.4132,156.624,147.484,0.941643682,129.886,25.961,0,1646.522384,10.51258035,605,3.862754112,6.649826236
ANNE,Anne Arundel County,PA,240037304021,169.46965,133.528,96.661,0.723900605,102.47,26.902,0,867.0872708,6.493673767,830,6.21592475,0.277749017
ANNE,Anne Arundel County,PA,240037304022,459.3185,293.9983333,256.3833333,0.872057098,158.8933333,109.363,0,5174.817885,17.60152116,892,3.034030805,14.56749035
ANNE,Anne Arundel County,PA,240037304023,138.7067,112.105,100.625,0.897596004,100.23,11.408,0,1081.998801,9.651655155,948,8.456357879,1.195297277
ANNE,Anne Arundel County,PA,240037305021,226.0122,177.709,161.729,0.910077711,152.786,14.997,0,769.4807095,4.330004161,726,4.085330512,0.244673649
ANNE,Anne Arundel County,PA,240037305022,206.09653,163.554,122.968,0.751849542,95.882,53.888,0,3583.397541,21.90956834,982,6.004133191,15.90543515
ANNE,Anne Arundel County,PA,240037305023,544.91116,446.034,349.766,0.78416892,299.497,46.986,0,3135.260656,7.029196554,827,1.854118744,5.17507781
ANNE,Anne Arundel County,PA,240037305041,377.69728,377.874,296.631,0.784999762,136.949,187.22,0,2797.924212,7.404384033,1155,3.056574414,4.347809619
ANNE,Anne Arundel County,PA,240037305042,139.52691,126.523,92.231,0.728966275,113.419,12.89,0,1805.019114,14.26633193,1091,8.622938122,5.643393806
ANNE,Anne Arundel County,PA,240037305043,536.14755,462.748,380.558,0.822387131,410.042,21.201,10.4,1606.365418,3.471361125,866,1.871428942,1.599932183
ANNE,Anne Arundel County,PA,240037305051,215.03998,165.841,107.53,0.648392135,88.374,60.64,0,3565.889647,21.50185809,1663,10.02767711,11.47418097
